course_url,course_name,absoulte_url
/course/edx-introduccion-a-la-programacion-en-c-tipos-de-datos-y-estructuras-12156,Introducción a la programación en C: Tipos de datos y estructuras,https://www.classcentral.com/course/edx-introduccion-a-la-programacion-en-c-tipos-de-datos-y-estructuras-12156
/course/edx-introduccion-a-la-programacion-en-c-instrucciones-de-control-y-ficheros-de-texto-12157,Introducción a la programación en C: Instrucciones de control y ficheros de texto,https://www.classcentral.com/course/edx-introduccion-a-la-programacion-en-c-instrucciones-de-control-y-ficheros-de-texto-12157
/course/edx-introduccion-a-la-programacion-en-c-funciones-y-punteros-12158,Introducción a la programación en C: Funciones y punteros,https://www.classcentral.com/course/edx-introduccion-a-la-programacion-en-c-funciones-y-punteros-12158
/course/independent-hacker-tools-13160,Hacker Tools,https://www.classcentral.com/course/independent-hacker-tools-13160
/course/edx-accessible-gamification-9485,Accessible Gamification,https://www.classcentral.com/course/edx-accessible-gamification-9485
/course/edx--big-data-machine-learning-12739,大数据机器学习|Big Data Machine Learning,https://www.classcentral.com/course/edx--big-data-machine-learning-12739
/course/edx-il-linguaggio-naturale-dall-uomo-alla-macchina-11401,"Il linguaggio naturale, dall'uomo alla macchina",https://www.classcentral.com/course/edx-il-linguaggio-naturale-dall-uomo-alla-macchina-11401
/course/edx-introduzione-all-informatica-11403,Introduzione all'informatica,https://www.classcentral.com/course/edx-introduzione-all-informatica-11403
/course/edx-nuove-tecnologie-digitali-11406,Nuove tecnologie digitali,https://www.classcentral.com/course/edx-nuove-tecnologie-digitali-11406
/course/edx-algorithms-5752,Algorithms,https://www.classcentral.com/course/edx-algorithms-5752
/course/edx-implementation-of-data-structures-5753,Implementation of Data Structures,https://www.classcentral.com/course/edx-implementation-of-data-structures-5753
/course/edx-foundations-of-data-structures-5755,Foundations of Data Structures,https://www.classcentral.com/course/edx-foundations-of-data-structures-5755
/course/edx-innovation-and-it-management-3594,Innovation and IT Management,https://www.classcentral.com/course/edx-innovation-and-it-management-3594
/course/edx-computational-thinking-for-modeling-and-simulation-12764,Computational Thinking for Modeling and Simulation,https://www.classcentral.com/course/edx-computational-thinking-for-modeling-and-simulation-12764
/course/udacity-intro-to-tensorflow-for-deep-learning-13286,Intro to TensorFlow for Deep Learning,https://www.classcentral.com/course/udacity-intro-to-tensorflow-for-deep-learning-13286
/course/openhpi-digitale-identitaten-wer-bin-ich-im-netz-12642,Digitale Identitäten - Wer bin ich im Netz?,https://www.classcentral.com/course/openhpi-digitale-identitaten-wer-bin-ich-im-netz-12642
/course/edx-sparse-representations-in-signal-and-image-processing-fundamentals-9133,Sparse Representations in Signal and Image Processing: Fundamentals,https://www.classcentral.com/course/edx-sparse-representations-in-signal-and-image-processing-fundamentals-9133
/course/edx-diseno-de-sistemas-de-informacion-gerencial-para-intranet-con-microsoft-access-11413,Diseño de sistemas de información gerencial para intranet con Microsoft Access,https://www.classcentral.com/course/edx-diseno-de-sistemas-de-informacion-gerencial-para-intranet-con-microsoft-access-11413
/course/france-universite-numerique-introduction-a-l-histologie-exploration-des-tissus-du-corps-humain-10824,Introduction à l’histologie : exploration des tissus du corps humain,https://www.classcentral.com/course/france-universite-numerique-introduction-a-l-histologie-exploration-des-tissus-du-corps-humain-10824
/course/france-universite-numerique-de-l-atome-a-l-humain-a-la-racine-des-mots-scientifiques-4983,De l'atome à l'humain : à la racine des mots scientifiques,https://www.classcentral.com/course/france-universite-numerique-de-l-atome-a-l-humain-a-la-racine-des-mots-scientifiques-4983
/course/france-universite-numerique-problemes-energetiques-globaux-4984,Problèmes Energétiques Globaux,https://www.classcentral.com/course/france-universite-numerique-problemes-energetiques-globaux-4984
/course/france-universite-numerique-chimie-ouvrez-les-portes-de-l-enseignement-superieur-12159,Chimie : ouvrez les portes de l’enseignement supérieur !,https://www.classcentral.com/course/france-universite-numerique-chimie-ouvrez-les-portes-de-l-enseignement-superieur-12159
/course/awake-brain-surgery-9633,Language Testing During Awake Brain Surgery,https://www.classcentral.com/course/awake-brain-surgery-9633
/course/stanford-openedx-quantum-mechanics-for-scientists-and-engineers-1185,Quantum Mechanics for Scientists and Engineers,https://www.classcentral.com/course/stanford-openedx-quantum-mechanics-for-scientists-and-engineers-1185
